"name","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Graves Nunataks 98037","Eucrite-br","107.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98038","H6","118.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98039","Eucrite-br","72.8","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98040","H5","542.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98041","L6","1081.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98042","Eucrite-br","92.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98043","Eucrite-br","102.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98044","Eucrite-br","27.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98045","H4","260.39999999999998","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98046","L6","657.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98047","H5","594.1","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98048","H6","702.1","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98049","L6","2341.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98050","H3.8","337.4","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98051","H5","171.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98052","Eucrite-br","63.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98053","H6","145.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98054","Eucrite-br","103.4","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98055","Eucrite-br","140.80000000000001","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98056","H6","177.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98057","L6","65.099999999999994","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
