"name","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Oakley (iron)","Iron, IIIF","111000","Found","1926","42.333330","-113.700000","(42.33333, -113.7)"
"Ojuelos Altos","L6","5850","Fell","1926","38.183330","-5.400000","(38.18333, -5.4)"
"Okahandja","Iron, IIAB","6580","Found","1926","-21.983330","16.933330","(-21.98333, 16.93333)"
"Palmyra","L3","135","Fell","1926","39.800000","-91.500000","(39.8, -91.5)"
"Peck's Spring","L5","1600","Found","1926","32.000000","-102.000000","(32.0, -102.0)"
"Ulmiz","L","76.5","Fell","1926","46.933330","7.216670","(46.93333, 7.21667)"
"Urasaki","Stone-uncl","1500","Fell","1926","34.483330","133.283330","(34.48333, 133.28333)"
"Vincent","L5","430","Found","1926","-35.016670","139.916670","(-35.01667, 139.91667)"
"Weatherford","CBa","2000","Found","1926","35.500000","-98.700000","(35.5, -98.7)"
"Ballinger","Iron, IAB-MG","1250","Found","1927","31.766670","-99.983330","(31.76667, -99.98333)"
"Dix","L6","44000","Found","1927","41.233330","-103.483330","(41.23333, -103.48333)"
"Genichesk","L5/6","531","Found","1927","46.700000","32.600000","(46.7, 32.6)"
"Hinojal","L6","50000","Found","1927","-32.366670","-60.150000","(-32.36667, -60.15)"
"Hugoton","H5","350000","Found","1927","37.200000","-101.350000","(37.2, -101.35)"
"Mamra Springs","L6","1000","Fell","1927","45.216670","62.083330","(45.21667, 62.08333)"
"Oesede","H5","1400","Fell","1927","52.283330","8.050000","(52.28333, 8.05)"
"Pinnaroo","Mesosiderite-A4","39400","Found","1927","-35.383330","140.916670","(-35.38333, 140.91667)"
"Social Circle","Iron, IVA","99300","Found","1927","33.700000","-83.700000","(33.7, -83.7)"
